A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,Rep,Time
0,0.0,16555.0,30265.0,51318.0,65071.0,102869.0,86253.0,158393.0,126772.0,141211.0,278196.0,0.0,476.0,17085.0,35684.0,49356.0,57197.0,80581.0,126112.0,123047.0,177135.0,244058.0,240927.0,0.0,0.0,16732.0,35431.0,51324.0,73962.0,81868.0,93848.0,100463.0,110189.0,144506.0,167656.0,0.0,0.0,16694.0,31811.0,47097.0,58398.0,70598.0,86761.0,111420.0,122171.0,149311.0,181725.0,0.0,57.0,16384.0,29690.0,50715.0,73496.0,76241.0,85937.0,102243.0,112009.0,132096.0,160088.0,0.0,1401.0,19586.0,39312.0,46787.0,78484.0,83625.0,97985.0,107154.0,123441.0,139905.0,167081.0,0.0,0.0,22257.0,32908.0,47165.0,65661.0,79710.0,94552.0,135403.0,118583.0,194104.0,200825.0,0.0,0.0,49310.0,53150.0,62131.0,74446.0,104563.0,113609.0,124214.0,134345.0,151662.0,176267.0,0.0,rep-1,16
1,0.0,24215.0,23269.0,55290.0,50111.0,65094.0,68199.0,90874.0,103605.0,82467.0,192780.0,725.0,2518.0,17799.0,28227.0,41766.0,65249.0,79762.0,120254.0,96760.0,115386.0,171613.0,200086.0,0.0,0.0,18748.0,36991.0,50140.0,84261.0,70083.0,79675.0,103024.0,111242.0,160259.0,160952.0,0.0,0.0,23535.0,34211.0,46394.0,60410.0,69148.0,81180.0,103326.0,118310.0,138412.0,163133.0,0.0,2430.0,152937.0,143138.0,196580.0,154743.0,136238.0,147303.0,132892.0,133634.0,132065.0,158544.0,0.0,2886.0,151899.0,149006.0,149140.0,149543.0,146540.0,139850.0,158448.0,142935.0,142515.0,160720.0,0.0,2541.0,123576.0,149872.0,151041.0,221748.0,140772.0,171099.0,108238.0,151805.0,156556.0,159400.0,0.0,217.0,161237.0,150511.0,149516.0,114944.0,148512.0,162121.0,157120.0,149579.0,162675.0,142981.0,0.0,rep-1,24
2,0.0,16561.0,40780.0,55032.0,71866.0,89534.0,95700.0,121221.0,135927.0,184378.0,145370.0,0.0,0.0,17346.0,36126.0,50170.0,71038.0,83454.0,103082.0,115341.0,149632.0,148575.0,155362.0,0.0,3787.0,20610.0,35098.0,51785.0,70446.0,87067.0,103254.0,123507.0,144342.0,177497.0,197396.0,0.0,1116.0,18126.0,35105.0,49961.0,67803.0,82810.0,95931.0,106428.0,127694.0,155151.0,198385.0,0.0,1186.0,20266.0,37708.0,51892.0,71579.0,79941.0,96001.0,112096.0,131856.0,161352.0,194892.0,0.0,2773.0,19881.0,36159.0,51652.0,69190.0,82423.0,100455.0,121297.0,167898.0,169356.0,199662.0,0.0,886.0,25918.0,42198.0,54174.0,70411.0,95269.0,107342.0,119046.0,145475.0,160186.0,187087.0,0.0,1413.0,50928.0,75523.0,81903.0,91616.0,115604.0,127485.0,140732.0,151016.0,157857.0,183981.0,0.0,rep-2,16
3,0.0,8843.0,17332.0,44848.0,48438.0,86712.0,106249.0,134080.0,135181.0,124619.0,177539.0,0.0,0.0,12426.0,29162.0,49547.0,68479.0,60631.0,72661.0,89839.0,110494.0,132089.0,202019.0,0.0,0.0,11531.0,28047.0,45763.0,66540.0,85411.0,115093.0,87975.0,101398.0,154096.0,142208.0,0.0,0.0,18388.0,36371.0,54513.0,75136.0,78718.0,75170.0,99242.0,98683.0,117825.0,201659.0,0.0,0.0,135498.0,131613.0,175764.0,127090.0,148181.0,144066.0,128452.0,132498.0,133063.0,155321.0,0.0,0.0,139739.0,142334.0,129253.0,140492.0,136778.0,129328.0,131265.0,132445.0,136829.0,158566.0,0.0,0.0,138963.0,248978.0,130015.0,136197.0,146548.0,147094.0,187218.0,125158.0,121402.0,123752.0,0.0,0.0,153039.0,148156.0,153071.0,154328.0,162613.0,169914.0,188058.0,148875.0,146062.0,142676.0,0.0,rep-2,24
4,0.0,20745.0,42901.0,62095.0,84588.0,87294.0,98711.0,169388.0,159616.0,168230.0,269509.0,0.0,3122.0,21823.0,44134.0,55022.0,74577.0,96379.0,102468.0,150802.0,157026.0,254175.0,323177.0,0.0,1865.0,17472.0,31738.0,48900.0,68756.0,82870.0,89149.0,101764.0,133306.0,176516.0,188051.0,0.0,1932.0,21284.0,32860.0,46874.0,61784.0,78169.0,94514.0,181678.0,132577.0,167349.0,193374.0,0.0,1884.0,19195.0,32077.0,50424.0,73981.0,83485.0,93475.0,106439.0,126173.0,158599.0,229698.0,0.0,2546.0,21988.0,33324.0,45019.0,66689.0,75443.0,95954.0,106014.0,123053.0,165769.0,196623.0,0.0,175.0,24898.0,37223.0,49528.0,67040.0,81682.0,98146.0,148280.0,136656.0,172417.0,196058.0,0.0,293.0,63979.0,61498.0,64405.0,75109.0,88469.0,98105.0,112015.0,140637.0,180990.0,185275.0,0.0,rep-3,16
5,0.0,8671.0,21263.0,26153.0,37919.0,73621.0,109875.0,118893.0,120932.0,114614.0,129823.0,0.0,0.0,12273.0,44644.0,40117.0,53071.0,102661.0,130860.0,151696.0,178265.0,245929.0,320426.0,0.0,0.0,16197.0,35299.0,52797.0,86051.0,74196.0,129767.0,117360.0,131250.0,154548.0,175087.0,0.0,0.0,18870.0,30651.0,47013.0,65178.0,81035.0,137968.0,109990.0,213300.0,205114.0,325182.0,0.0,0.0,169243.0,178020.0,197790.0,217226.0,195878.0,149737.0,146908.0,173408.0,215747.0,204368.0,0.0,0.0,165055.0,158210.0,197495.0,158379.0,160808.0,127540.0,193018.0,181160.0,163064.0,181273.0,0.0,0.0,197888.0,173705.0,167473.0,214281.0,249044.0,204391.0,111227.0,267210.0,275473.0,288281.0,0.0,0.0,175698.0,169322.0,185942.0,100725.0,198820.0,204250.0,189341.0,257367.0,279037.0,241720.0,0.0,rep-3,24
6,0.0,17194.0,34261.0,52005.0,74660.0,105728.0,98854.0,169166.0,139860.0,163877.0,240317.0,0.0,0.0,18542.0,40961.0,46288.0,72491.0,96923.0,108588.0,157090.0,127605.0,149005.0,328517.0,0.0,0.0,14421.0,28575.0,43318.0,53795.0,64669.0,79881.0,96865.0,114678.0,132655.0,150883.0,0.0,0.0,14955.0,34280.0,42417.0,56781.0,66897.0,83642.0,166715.0,121575.0,135013.0,170512.0,0.0,0.0,15950.0,29328.0,42775.0,55993.0,68948.0,88123.0,102312.0,117916.0,136811.0,164383.0,0.0,0.0,18835.0,29433.0,41107.0,56085.0,67937.0,84400.0,99661.0,115403.0,138618.0,168582.0,0.0,0.0,21724.0,32055.0,47034.0,62164.0,74917.0,89784.0,116375.0,171558.0,152885.0,166604.0,0.0,0.0,58108.0,56548.0,66689.0,75389.0,86043.0,99971.0,116915.0,122504.0,146203.0,174793.0,0.0,rep-4,16
7,0.0,11773.0,22660.0,33838.0,45378.0,77425.0,76792.0,104643.0,104335.0,142326.0,181809.0,0.0,0.0,11990.0,26353.0,38114.0,48649.0,93104.0,115106.0,103340.0,114081.0,233609.0,257420.0,0.0,0.0,13230.0,30402.0,41143.0,58265.0,78047.0,94316.0,117867.0,131147.0,141820.0,188680.0,0.0,0.0,21926.0,29672.0,50758.0,59726.0,84296.0,82817.0,110842.0,130032.0,217619.0,292044.0,0.0,0.0,155260.0,251914.0,165641.0,150761.0,172409.0,154074.0,162578.0,185835.0,195218.0,214116.0,0.0,0.0,200061.0,160309.0,167203.0,159285.0,164221.0,176486.0,166895.0,178219.0,184108.0,210002.0,0.0,0.0,291379.0,306640.0,247183.0,250140.0,292180.0,186773.0,268938.0,306944.0,280743.0,269008.0,0.0,0.0,175241.0,191052.0,175366.0,151241.0,158705.0,205832.0,186604.0,187539.0,190975.0,212476.0,0.0,rep-4,24
