A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,Rep,Time
0,47361.0,71578.0,94870.0,104083.0,138598.0,157815.0,197259.0,234541.0,260112.0,294073.0,328008.0,193353.0,51369.0,61717.0,83814.0,108016.0,144302.0,168727.0,172588.0,205825.0,234517.0,285747.0,311619.0,305356.0,51589.0,54621.0,71865.0,105153.0,118331.0,146542.0,175758.0,225693.0,246606.0,301238.0,349336.0,315284.0,55785.0,71040.0,95634.0,119959.0,144611.0,165658.0,189209.0,226248.0,250060.0,288683.0,321998.0,302289.0,63489.0,73077.0,91300.0,102674.0,120799.0,158578.0,200777.0,215095.0,251981.0,299472.0,350833.0,309180.0,85346.0,63937.0,80214.0,110344.0,131573.0,161380.0,189576.0,228168.0,258025.0,297946.0,345894.0,310326.0,80859.0,66138.0,105130.0,122697.0,154349.0,183487.0,215554.0,233875.0,272676.0,302715.0,364687.0,312135.0,78003.0,116898.0,127869.0,142362.0,159459.0,185607.0,222997.0,255477.0,282357.0,325228.0,354501.0,318500.0,rep-1,16
1,23140.0,43542.0,121384.0,80035.0,141490.0,139242.0,172299.0,184714.0,212135.0,248664.0,269631.0,274875.0,50549.0,75851.0,96080.0,106065.0,121525.0,136003.0,151761.0,186974.0,214606.0,242935.0,300470.0,245358.0,35249.0,50981.0,62648.0,82701.0,105924.0,152109.0,171327.0,205005.0,236742.0,276275.0,328727.0,259233.0,40454.0,67334.0,89280.0,111239.0,133345.0,154870.0,172112.0,213092.0,222915.0,258588.0,305396.0,254391.0,99211.0,337287.0,311989.0,281746.0,300012.0,303040.0,279488.0,299533.0,298099.0,294006.0,326179.0,267529.0,116593.0,332127.0,297362.0,320825.0,294731.0,298777.0,315888.0,301179.0,299818.0,328022.0,329488.0,265602.0,113065.0,310867.0,320399.0,288438.0,311975.0,292235.0,301181.0,292671.0,287326.0,300534.0,322511.0,260494.0,269102.0,355194.0,335859.0,321524.0,325666.0,319065.0,339278.0,327145.0,315197.0,313894.0,325088.0,268632.0,rep-1,24
2,34951.0,88880.0,79462.0,96228.0,124635.0,149904.0,165720.0,197640.0,219649.0,252332.0,331352.0,292368.0,42236.0,58147.0,83612.0,103768.0,130063.0,154118.0,183643.0,201302.0,234503.0,281661.0,314448.0,279092.0,71315.0,54305.0,80822.0,103576.0,129628.0,150595.0,176498.0,204707.0,228746.0,264893.0,296959.0,273907.0,58133.0,59969.0,85727.0,108496.0,134065.0,160057.0,174889.0,200621.0,223263.0,263239.0,296699.0,301523.0,69733.0,63781.0,88280.0,107740.0,127118.0,151580.0,170907.0,206891.0,222224.0,254614.0,294831.0,309326.0,94752.0,62543.0,89063.0,108729.0,136374.0,159961.0,182010.0,206741.0,231981.0,270049.0,319681.0,305567.0,85438.0,70515.0,95145.0,118234.0,145376.0,177958.0,188271.0,215213.0,251539.0,271620.0,323354.0,295554.0,87985.0,112632.0,140125.0,148712.0,163546.0,196450.0,217375.0,244332.0,265689.0,282924.0,323056.0,310791.0,rep-2,16
3,72209.0,82915.0,118180.0,91751.0,122025.0,128780.0,153487.0,184997.0,185606.0,210461.0,226313.0,268281.0,29228.0,59168.0,71174.0,79870.0,106639.0,145640.0,171259.0,191697.0,199740.0,210867.0,250420.0,243479.0,33523.0,45863.0,59407.0,83029.0,103346.0,120760.0,146215.0,201859.0,244502.0,283642.0,259865.0,268782.0,40854.0,60823.0,79217.0,107312.0,123700.0,135438.0,175980.0,211287.0,220008.0,237935.0,256649.0,257701.0,117817.0,341434.0,311157.0,278073.0,298513.0,296859.0,285322.0,306873.0,305261.0,290080.0,305644.0,267874.0,267636.0,330485.0,311411.0,311408.0,302137.0,327290.0,301032.0,312884.0,295247.0,294651.0,303016.0,270943.0,230040.0,302105.0,320848.0,312281.0,315696.0,306857.0,309941.0,260549.0,291024.0,258954.0,276561.0,259391.0,275034.0,332421.0,335099.0,328330.0,324213.0,309481.0,317592.0,304840.0,304049.0,307078.0,323646.0,272773.0,rep-2,24
4,35861.0,62470.0,88222.0,110500.0,138336.0,178102.0,201595.0,260451.0,274321.0,336514.0,368112.0,311307.0,51000.0,57081.0,88435.0,117678.0,148443.0,174124.0,219032.0,255123.0,270936.0,317025.0,392705.0,296543.0,55747.0,80010.0,94242.0,117316.0,138841.0,163717.0,201792.0,250593.0,264052.0,307061.0,395512.0,305466.0,62840.0,66281.0,104716.0,133277.0,162011.0,186777.0,213208.0,241903.0,287784.0,336735.0,401572.0,286957.0,70674.0,81878.0,103552.0,126760.0,131798.0,168089.0,220197.0,249506.0,289807.0,313054.0,387375.0,307602.0,96981.0,87447.0,103213.0,131858.0,162921.0,190343.0,217597.0,260792.0,307616.0,350294.0,398789.0,304659.0,77784.0,79988.0,111423.0,138473.0,167253.0,197090.0,221825.0,242880.0,294554.0,344864.0,409401.0,304011.0,92515.0,154045.0,157530.0,160657.0,174667.0,208505.0,242144.0,275656.0,316944.0,330622.0,426285.0,311455.0,rep-3,16
5,66725.0,104592.0,111877.0,158975.0,161979.0,148058.0,175137.0,214096.0,246253.0,272747.0,322456.0,276182.0,60828.0,66002.0,76943.0,100535.0,131603.0,141037.0,162269.0,197037.0,229194.0,292793.0,371233.0,261727.0,42760.0,56102.0,67407.0,95932.0,117634.0,158305.0,171320.0,208034.0,262152.0,303784.0,398157.0,269816.0,40313.0,71307.0,92347.0,115049.0,140878.0,179446.0,184402.0,249557.0,273610.0,290485.0,375863.0,259081.0,177496.0,359072.0,352669.0,332195.0,322898.0,337762.0,332407.0,330238.0,358189.0,392527.0,382322.0,266253.0,262352.0,345353.0,342337.0,341699.0,337748.0,382371.0,350998.0,345870.0,354975.0,356294.0,422376.0,264341.0,69965.0,351766.0,367743.0,350235.0,374680.0,358723.0,379276.0,307998.0,363822.0,349981.0,398801.0,257253.0,270632.0,412916.0,405846.0,393289.0,377830.0,382633.0,373032.0,370540.0,389888.0,384841.0,446689.0,274368.0,rep-3,24
6,50033.0,60080.0,80653.0,108693.0,141886.0,169801.0,210882.0,240284.0,274130.0,318156.0,333892.0,312322.0,47280.0,54421.0,80839.0,116406.0,135544.0,166745.0,201814.0,236292.0,276654.0,326949.0,389176.0,288891.0,55632.0,79674.0,108582.0,131439.0,156165.0,183824.0,218337.0,258221.0,294062.0,334269.0,400778.0,303511.0,64564.0,77120.0,85502.0,131943.0,153215.0,177881.0,205559.0,226757.0,275263.0,318325.0,360684.0,298337.0,71293.0,72620.0,105737.0,132582.0,159315.0,183581.0,225649.0,258268.0,294649.0,335223.0,391708.0,297591.0,84727.0,87185.0,113204.0,138772.0,163047.0,186507.0,212218.0,256618.0,290840.0,338149.0,403333.0,300112.0,74772.0,85385.0,105877.0,138213.0,165141.0,188297.0,220865.0,253595.0,269269.0,331576.0,398541.0,300584.0,91363.0,145657.0,157458.0,183134.0,196073.0,214834.0,237260.0,267845.0,318130.0,372482.0,415018.0,298860.0,rep-4,16
7,45708.0,72796.0,100189.0,99964.0,141573.0,142393.0,184656.0,215676.0,259216.0,313780.0,330856.0,278341.0,52918.0,46953.0,81465.0,102799.0,122411.0,131036.0,158346.0,211554.0,248739.0,291213.0,361004.0,263352.0,38889.0,69070.0,73676.0,105934.0,126730.0,150818.0,205041.0,207302.0,278214.0,311722.0,369914.0,268244.0,42892.0,62413.0,90320.0,123768.0,140321.0,178214.0,179548.0,237005.0,258435.0,294712.0,369247.0,258744.0,98192.0,355468.0,333949.0,364888.0,350874.0,367905.0,351170.0,344395.0,322532.0,361989.0,373744.0,270126.0,265101.0,339734.0,339729.0,362393.0,318024.0,365650.0,366652.0,374209.0,372376.0,367778.0,409456.0,266460.0,195741.0,346621.0,361136.0,353022.0,362797.0,379857.0,370448.0,343142.0,378520.0,362100.0,398065.0,255667.0,275663.0,393820.0,373927.0,395578.0,367505.0,385775.0,394926.0,388767.0,390445.0,390998.0,423063.0,267430.0,rep-4,24
