A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,Rep,Time
0,0.0,28791.0,54433.0,73207.0,107912.0,135711.0,171137.0,220911.0,245682.0,285275.0,326521.0,0.0,908.0,24761.0,50544.0,75468.0,109783.0,141123.0,153795.0,187002.0,222252.0,279883.0,308091.0,0.0,0.0,21315.0,42432.0,74061.0,92801.0,120394.0,151368.0,204193.0,228608.0,293711.0,350745.0,0.0,0.0,28684.0,56104.0,83952.0,110602.0,134987.0,163085.0,206716.0,234044.0,279609.0,318816.0,0.0,142.0,29309.0,51635.0,71834.0,94834.0,130104.0,174669.0,193276.0,234820.0,290960.0,352617.0,0.0,4831.0,27900.0,49952.0,76076.0,105774.0,134879.0,166076.0,208066.0,242994.0,289658.0,346641.0,0.0,0.0,31085.0,63529.0,86225.0,122502.0,155380.0,192179.0,218040.0,258915.0,297250.0,368486.0,0.0,0.0,82596.0,93574.0,110161.0,130378.0,163380.0,203600.0,240259.0,271404.0,322000.0,356816.0,0.0,rep-1,16
1,0.0,24119.0,79146.0,61915.0,116809.0,119439.0,154646.0,172110.0,203947.0,246170.0,271139.0,0.0,5953.0,39291.0,63148.0,79706.0,102111.0,119404.0,140484.0,175290.0,207529.0,241029.0,306410.0,0.0,0.0,25438.0,42324.0,62753.0,90995.0,133746.0,155920.0,195863.0,232724.0,279197.0,342451.0,0.0,0.0,38773.0,61641.0,86395.0,112286.0,136387.0,157021.0,205012.0,217083.0,258714.0,313717.0,0.0,14294.0,354021.0,323111.0,284899.0,307640.0,312472.0,283275.0,308334.0,306500.0,301518.0,339495.0,0.0,21378.0,347595.0,304716.0,333647.0,301498.0,306569.0,328286.0,308865.0,308050.0,343410.0,343419.0,0.0,18281.0,323497.0,333049.0,293854.0,319062.0,298879.0,308286.0,301499.0,292495.0,308181.0,334874.0,0.0,0.0,375844.0,352485.0,334488.0,344144.0,331500.0,355529.0,340824.0,326592.0,324054.0,339622.0,0.0,rep-1,24
2,0.0,39715.0,52148.0,70735.0,100512.0,128456.0,145220.0,181741.0,206576.0,244858.0,334954.0,0.0,0.0,24815.0,52893.0,75105.0,105241.0,131217.0,164668.0,184841.0,223665.0,276162.0,314498.0,0.0,10433.0,25288.0,50356.0,75599.0,104675.0,128607.0,157399.0,189428.0,217056.0,258365.0,294621.0,0.0,2657.0,26346.0,53842.0,78927.0,107967.0,136876.0,154478.0,182866.0,209678.0,255603.0,294340.0,0.0,3530.0,30024.0,57133.0,79104.0,102696.0,127906.0,150472.0,190316.0,208964.0,246339.0,292192.0,0.0,11554.0,29066.0,56854.0,79833.0,110527.0,136688.0,162549.0,191320.0,222087.0,263794.0,320485.0,0.0,3488.0,38003.0,64622.0,88956.0,119341.0,157469.0,170114.0,200077.0,242055.0,265209.0,324804.0,0.0,5652.0,82810.0,115833.0,125618.0,142261.0,179788.0,203325.0,233774.0,258147.0,277917.0,324481.0,0.0,rep-2,16
3,0.0,22616.0,54332.0,60852.0,86342.0,105233.0,132150.0,167182.0,167927.0,192017.0,213645.0,0.0,0.0,19265.0,38574.0,53914.0,81233.0,112488.0,141089.0,166369.0,178793.0,193395.0,240499.0,0.0,0.0,13744.0,30991.0,54806.0,77916.0,97724.0,126615.0,176303.0,224829.0,274192.0,246889.0,0.0,0.0,25433.0,47794.0,77105.0,97833.0,109331.0,146530.0,188673.0,197762.0,220234.0,247131.0,0.0,0.0,341305.0,304660.0,269164.0,289499.0,288852.0,275461.0,299422.0,297748.0,280133.0,299270.0,0.0,0.0,328026.0,305438.0,304842.0,294532.0,324118.0,292597.0,306694.0,286058.0,285656.0,296385.0,0.0,0.0,294413.0,318386.0,305918.0,310244.0,300303.0,303913.0,250627.0,280623.0,243779.0,263864.0,0.0,0.0,330538.0,333685.0,325683.0,320848.0,303950.0,313494.0,299455.0,297156.0,300539.0,319901.0,0.0,rep-2,24
4,0.0,29892.0,59918.0,85413.0,116673.0,156441.0,183137.0,253575.0,268714.0,341237.0,375361.0,0.0,5947.0,27729.0,60624.0,89177.0,123882.0,154206.0,202506.0,246812.0,264799.0,317719.0,401961.0,0.0,4144.0,36324.0,58128.0,86243.0,113086.0,140935.0,181566.0,237766.0,255866.0,306451.0,412393.0,0.0,4954.0,32396.0,66653.0,99099.0,132869.0,163192.0,194874.0,233820.0,283284.0,341529.0,419466.0,0.0,5607.0,39254.0,65197.0,95140.0,108001.0,145444.0,202327.0,237058.0,285459.0,313437.0,399475.0,0.0,11216.0,45430.0,65858.0,96815.0,135547.0,166174.0,199904.0,250033.0,306865.0,358032.0,415693.0,0.0,636.0,43376.0,74895.0,105155.0,139958.0,174908.0,204898.0,233145.0,291377.0,351155.0,429011.0,0.0,1344.0,125943.0,128388.0,132521.0,149918.0,188633.0,227622.0,267978.0,318183.0,333930.0,451890.0,0.0,rep-3,16
5,0.0,30318.0,56853.0,97951.0,113871.0,119904.0,154319.0,195548.0,230347.0,259308.0,318975.0,0.0,0.0,21877.0,50218.0,65337.0,97200.0,120071.0,144597.0,181672.0,217132.0,287973.0,374767.0,0.0,0.0,21712.0,39706.0,67688.0,95400.0,129713.0,153389.0,188986.0,249051.0,297780.0,411002.0,0.0,0.0,31190.0,53399.0,80364.0,110471.0,152321.0,167437.0,232537.0,266292.0,284485.0,379886.0,0.0,0.0,363182.0,355329.0,331307.0,320866.0,337721.0,331277.0,328653.0,362021.0,401764.0,390015.0,0.0,0.0,346754.0,343189.0,342279.0,337695.0,392215.0,354278.0,347155.0,358024.0,359965.0,441054.0,0.0,0.0,354004.0,373559.0,352575.0,380606.0,361457.0,386372.0,300614.0,367047.0,351369.0,406602.0,0.0,0.0,429579.0,421199.0,404222.0,391926.0,390609.0,378942.0,376423.0,397171.0,390808.0,465742.0,0.0,rep-3,24
6,0.0,23914.0,47322.0,76817.0,113638.0,147459.0,187579.0,227374.0,261910.0,313340.0,332389.0,0.0,0.0,22394.0,50883.0,80222.0,107235.0,142744.0,180080.0,222192.0,263647.0,323221.0,393905.0,0.0,0.0,29734.0,61851.0,90623.0,118231.0,149697.0,190647.0,238584.0,282458.0,331638.0,414514.0,0.0,0.0,29266.0,50560.0,90441.0,117074.0,144799.0,178341.0,212918.0,261452.0,312530.0,363565.0,0.0,0.0,28381.0,60595.0,91205.0,122255.0,151202.0,200736.0,239607.0,283452.0,332873.0,401914.0,0.0,0.0,38755.0,65846.0,95155.0,125751.0,153704.0,185495.0,237288.0,278751.0,336451.0,416252.0,0.0,0.0,40835.0,62976.0,98604.0,130597.0,158053.0,196035.0,236535.0,258760.0,328785.0,410355.0,0.0,0.0,110893.0,120829.0,149863.0,166055.0,188691.0,215920.0,252516.0,311715.0,378764.0,430525.0,0.0,rep-4,16
7,0.0,24425.0,52212.0,61861.0,102898.0,116780.0,157684.0,196328.0,244344.0,310755.0,331164.0,0.0,0.0,14950.0,43922.0,66750.0,88292.0,109792.0,139522.0,191725.0,233773.0,286989.0,365135.0,0.0,0.0,24775.0,41761.0,70936.0,96306.0,124875.0,183138.0,189497.0,268744.0,308304.0,377360.0,0.0,0.0,29630.0,52148.0,90478.0,108989.0,153265.0,154222.0,220362.0,246273.0,290546.0,373936.0,0.0,0.0,361070.0,334547.0,372227.0,355568.0,375619.0,355829.0,347389.0,321514.0,367642.0,380989.0,0.0,0.0,341401.0,341810.0,369102.0,316042.0,373230.0,373911.0,383667.0,380810.0,374965.0,424246.0,0.0,0.0,348539.0,364614.0,356171.0,367313.0,385971.0,378083.0,344792.0,384160.0,366027.0,407588.0,0.0,0.0,407537.0,382104.0,409734.0,376221.0,398756.0,406783.0,400438.0,402444.0,402901.0,440822.0,0.0,rep-4,24
