A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,Rep,Time
0,47382.0,71524.0,94914.0,104110.0,138678.0,157908.0,197292.0,234599.0,260198.0,293973.0,328148.0,192927.0,51369.0,61741.0,83814.0,108060.0,144349.0,168676.0,172550.0,205880.0,234623.0,285865.0,311761.0,306719.0,51598.0,54646.0,71881.0,105166.0,118371.0,146485.0,175857.0,225770.0,246434.0,301238.0,349336.0,314926.0,55805.0,71019.0,95634.0,119940.0,144681.0,165631.0,189239.0,226248.0,249897.0,288452.0,321804.0,300951.0,63541.0,73099.0,91328.0,102622.0,120771.0,158531.0,200811.0,214991.0,252203.0,299307.0,350897.0,308141.0,85436.0,63897.0,80251.0,110297.0,131557.0,161357.0,189631.0,228206.0,257982.0,297739.0,346075.0,310326.0,80838.0,66170.0,105182.0,122736.0,154448.0,183517.0,215480.0,233908.0,272825.0,302593.0,364802.0,311435.0,77942.0,116830.0,127831.0,142275.0,159339.0,185531.0,222860.0,255519.0,282453.0,325459.0,354743.0,318500.0,rep-1,16
1,23149.0,43527.0,121258.0,80026.0,141436.0,139330.0,172234.0,184625.0,212171.0,248373.0,269530.0,276130.0,50549.0,75781.0,96098.0,106013.0,121475.0,136074.0,151745.0,186915.0,214440.0,242905.0,300390.0,244842.0,35243.0,50987.0,62674.0,82729.0,105903.0,152208.0,171242.0,205071.0,236867.0,276109.0,328786.0,260391.0,40468.0,67372.0,89280.0,111186.0,133239.0,154870.0,172225.0,212949.0,223055.0,258464.0,305246.0,252937.0,99325.0,337480.0,311872.0,281819.0,300062.0,303097.0,279625.0,299418.0,298325.0,293784.0,326355.0,267529.0,116593.0,332127.0,297516.0,320885.0,294882.0,298724.0,315888.0,301428.0,299602.0,327763.0,329371.0,266815.0,113016.0,310933.0,320222.0,288581.0,311776.0,292235.0,301041.0,292801.0,287279.0,300584.0,322568.0,259006.0,269715.0,354921.0,335600.0,321345.0,325819.0,318828.0,339092.0,327026.0,314910.0,314000.0,324898.0,268632.0,rep-1,24
2,34947.0,88810.0,79507.0,96228.0,124651.0,149942.0,165808.0,197718.0,219708.0,252272.0,331289.0,292368.0,42236.0,58125.0,83602.0,103727.0,130012.0,154182.0,183694.0,201218.0,234533.0,281661.0,314287.0,278807.0,71362.0,54275.0,80843.0,103563.0,129594.0,150654.0,176616.0,204762.0,228776.0,264893.0,296881.0,274190.0,58076.0,59977.0,85692.0,108526.0,134028.0,159989.0,174938.0,200472.0,223263.0,263428.0,296855.0,300839.0,69798.0,63797.0,88315.0,107798.0,127150.0,151558.0,170883.0,206952.0,222255.0,254648.0,294909.0,309326.0,94695.0,62535.0,89063.0,108803.0,136317.0,159938.0,181933.0,206855.0,232009.0,269975.0,319591.0,306589.0,85462.0,70515.0,95145.0,118167.0,145440.0,178035.0,188376.0,215150.0,251612.0,271503.0,323402.0,294275.0,87908.0,112648.0,140106.0,148812.0,163523.0,196503.0,217466.0,244473.0,265532.0,282838.0,323204.0,312163.0,rep-2,16
3,72159.0,82863.0,118065.0,91707.0,121950.0,128808.0,153419.0,185059.0,185606.0,210489.0,226191.0,267380.0,29217.0,59193.0,71148.0,79862.0,106594.0,145663.0,171316.0,191819.0,199797.0,210785.0,250366.0,243998.0,33518.0,45863.0,59419.0,83011.0,103357.0,120735.0,146230.0,201859.0,244367.0,283816.0,259904.0,268782.0,40882.0,60846.0,79226.0,107325.0,123671.0,135388.0,176038.0,211287.0,219971.0,237859.0,256706.0,256522.0,118074.0,341644.0,311097.0,278185.0,298626.0,296958.0,285230.0,306814.0,305090.0,289875.0,305694.0,267566.0,267333.0,330613.0,311188.0,311347.0,301925.0,327290.0,301258.0,312643.0,295461.0,294444.0,303113.0,269394.0,230270.0,302158.0,320884.0,312523.0,315815.0,306963.0,310103.0,260704.0,290916.0,258998.0,276561.0,257909.0,274089.0,332601.0,334786.0,328330.0,324440.0,309530.0,317342.0,305010.0,304100.0,307238.0,323586.0,272154.0,rep-2,24
4,35856.0,62502.0,88200.0,110568.0,138268.0,178047.0,201723.0,260279.0,274361.0,336456.0,368112.0,310601.0,50992.0,57068.0,88435.0,117628.0,148507.0,174027.0,219069.0,255086.0,270896.0,316918.0,392530.0,296543.0,55767.0,79969.0,94301.0,117316.0,138921.0,163669.0,201827.0,250642.0,264268.0,306969.0,395801.0,305466.0,62775.0,66290.0,104770.0,133277.0,161894.0,186712.0,213134.0,242043.0,287990.0,337025.0,401209.0,285714.0,70608.0,81835.0,103535.0,126842.0,131713.0,167962.0,220317.0,249691.0,289535.0,313316.0,387317.0,306905.0,96951.0,87462.0,103265.0,131858.0,162949.0,190378.0,217635.0,260792.0,307366.0,350421.0,398860.0,302938.0,77742.0,80000.0,111405.0,138473.0,167282.0,197019.0,221902.0,242747.0,294606.0,344805.0,409177.0,302294.0,92365.0,154148.0,157502.0,160601.0,174815.0,208468.0,242236.0,275548.0,317003.0,330622.0,426200.0,312164.0,rep-3,16
5,66710.0,104703.0,111805.0,159153.0,161788.0,148121.0,175181.0,214157.0,246413.0,272952.0,322650.0,277127.0,60880.0,66012.0,76974.0,100578.0,131562.0,141112.0,162318.0,197122.0,229144.0,292855.0,371272.0,261134.0,42730.0,56081.0,67393.0,95965.0,117623.0,158185.0,171338.0,207917.0,262279.0,303983.0,398157.0,269816.0,40286.0,71277.0,92306.0,115083.0,140940.0,179475.0,184362.0,249468.0,273702.0,290557.0,375783.0,258181.0,177226.0,359330.0,352490.0,332002.0,322688.0,337611.0,332346.0,330238.0,358001.0,392777.0,382073.0,266253.0,261461.0,345170.0,342523.0,341648.0,337809.0,381990.0,351154.0,345656.0,355094.0,355967.0,422208.0,265548.0,69942.0,351712.0,367412.0,350483.0,374852.0,358907.0,379215.0,307931.0,363955.0,349781.0,398602.0,255783.0,270632.0,412751.0,405681.0,393574.0,378048.0,382442.0,373269.0,370853.0,389888.0,384937.0,446908.0,275000.0,rep-3,24
6,50049.0,60051.0,80663.0,108721.0,141943.0,169780.0,211018.0,240198.0,273998.0,318416.0,333933.0,311249.0,47302.0,54433.0,80839.0,116371.0,135544.0,166767.0,201901.0,236381.0,276654.0,326890.0,389218.0,289206.0,55652.0,79701.0,108563.0,131370.0,156279.0,183719.0,218509.0,258325.0,294240.0,334405.0,401131.0,303167.0,64510.0,77094.0,85546.0,131872.0,153162.0,177784.0,205412.0,226680.0,275461.0,318569.0,360426.0,299346.0,71276.0,72576.0,105737.0,132511.0,159286.0,183581.0,225564.0,258019.0,294591.0,335490.0,391865.0,296244.0,84821.0,87231.0,113162.0,138640.0,163168.0,186577.0,212024.0,256669.0,290955.0,338418.0,403414.0,301467.0,74831.0,85344.0,105965.0,138262.0,165054.0,188331.0,220704.0,253682.0,269269.0,331635.0,398702.0,300584.0,91279.0,145586.0,157486.0,183134.0,196109.0,214677.0,237303.0,267845.0,318130.0,372638.0,415102.0,298219.0,rep-4,16
7,45701.0,72821.0,100265.0,100027.0,141680.0,142336.0,184688.0,215642.0,259116.0,313894.0,330701.0,278658.0,52868.0,46932.0,81417.0,102846.0,122468.0,131008.0,158294.0,211554.0,248782.0,291181.0,361185.0,261864.0,38908.0,69059.0,73712.0,105982.0,126748.0,150903.0,205143.0,207447.0,278214.0,311553.0,370227.0,267312.0,42876.0,62443.0,90320.0,123787.0,140233.0,178186.0,179548.0,236885.0,258476.0,294677.0,369077.0,258144.0,98340.0,355537.0,333870.0,364752.0,350806.0,367705.0,350969.0,344088.0,322580.0,361989.0,373573.0,269198.0,265998.0,339684.0,339971.0,362061.0,317917.0,365306.0,366978.0,374494.0,372109.0,367842.0,409595.0,265240.0,195573.0,346734.0,361214.0,353157.0,362891.0,379678.0,370511.0,343182.0,378690.0,361974.0,397959.0,254788.0,276305.0,393744.0,373927.0,395273.0,367505.0,385460.0,394992.0,388767.0,390656.0,391345.0,422768.0,266192.0,rep-4,24
